name,slug,image_filename,image_path
Ab Wheel Rollout,ab-wheel-rollout,ab-wheel-rollout.jpg,/exercises/ab-wheel-rollout.jpg
Alternating Foot Jump Rope,alternating-foot-jump-rope,alternating-foot-jump-rope.jpg,/exercises/alternating-foot-jump-rope.jpg
Arnold Press,arnold-press,arnold-press.jpg,/exercises/arnold-press.jpg
Assault Bike,assault-bike,assault-bike.jpg,/exercises/assault-bike.jpg
Assisted Pull-up,assisted-pull-up,assisted-pull-up.jpg,/exercises/assisted-pull-up.jpg
Banded Bicep Curl,banded-bicep-curl,banded-bicep-curl.jpg,/exercises/banded-bicep-curl.jpg
Banded Chest Press,banded-chest-press,banded-chest-press.jpg,/exercises/banded-chest-press.jpg
Banded Glute Bridge,banded-glute-bridge,banded-glute-bridge.jpg,/exercises/banded-glute-bridge.jpg
Banded Hip Extension,banded-hip-extension,banded-hip-extension.jpg,/exercises/banded-hip-extension.jpg
Banded Lateral Walk,banded-lateral-walk,banded-lateral-walk.jpg,/exercises/banded-lateral-walk.jpg
Banded Overhead Press,banded-overhead-press,banded-overhead-press.jpg,/exercises/banded-overhead-press.jpg
Banded Pull-Apart,banded-pull-apart,banded-pull-apart.jpg,/exercises/banded-pull-apart.jpg
Banded Seated Row,banded-seated-row,banded-seated-row.jpg,/exercises/banded-seated-row.jpg
Banded Squat,banded-squat,banded-squat.jpg,/exercises/banded-squat.jpg
Banded Triceps Pushdown,banded-triceps-pushdown,banded-triceps-pushdown.jpg,/exercises/banded-triceps-pushdown.jpg
Barbell Back Squat,barbell-back-squat,barbell-back-squat.jpg,/exercises/barbell-back-squat.jpg
Barbell Bench Press,barbell-bench-press,barbell-bench-press.jpg,/exercises/barbell-bench-press.jpg
Barbell Conventional Deadlift,barbell-conventional-deadlift,barbell-conventional-deadlift.jpg,/exercises/barbell-conventional-deadlift.jpg
Barbell Curl,barbell-curl,barbell-curl.jpg,/exercises/barbell-curl.jpg
Barbell Front Squat,barbell-front-squat,barbell-front-squat.jpg,/exercises/barbell-front-squat.jpg
Barbell Hip Thrust,barbell-hip-thrust,barbell-hip-thrust.jpg,/exercises/barbell-hip-thrust.jpg
Barbell Overhead Press,barbell-overhead-press,barbell-overhead-press.jpg,/exercises/barbell-overhead-press.jpg
Barbell Row,barbell-row,barbell-row.jpg,/exercises/barbell-row.jpg
Barbell Squat,barbell-squat,barbell-squat.jpg,/exercises/barbell-squat.jpg
Bear Crawl,bear-crawl,bear-crawl.jpg,/exercises/bear-crawl.jpg
Bicep Curl,bicep-curl,bicep-curl.jpg,/exercises/bicep-curl.jpg
Bodyweight Squat,bodyweight-squat,bodyweight-squat.jpg,/exercises/bodyweight-squat.jpg
